Datetime;PJM_Load_MW;Weekday;Date;Year;Month;Season;Day;Time;Hour;Minute;Week;DayOfWeek;LeapYear
1998-04-04 11:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;11:00:00;11;0;14;5;False
1998-04-04 12:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;12:00:00;12;0;14;5;False
1998-04-04 13:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;13:00:00;13;0;14;5;False
1998-04-04 14:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;14:00:00;14;0;14;5;False
1998-04-04 15:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;15:00:00;15;0;14;5;False
1998-04-04 16:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;16:00:00;16;0;14;5;False
1998-04-04 17:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;17:00:00;17;0;14;5;False
1998-04-04 18:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;18:00:00;18;0;14;5;False
1998-04-04 19:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;19:00:00;19;0;14;5;False
1998-04-04 20:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;20:00:00;20;0;14;5;False
1998-04-04 21:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;21:00:00;21;0;14;5;False
1998-04-04 22:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;22:00:00;22;0;14;5;False
1998-04-04 23:00:00;3;Saturday;1998-04-04;1998;4;Spring;4;23:00:00;23;0;14;5;False
1998-04-05 00:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;00:00:00;0;0;14;6;False
1998-04-05 01:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;01:00:00;1;0;14;6;False
1998-04-05 02:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;02:00:00;2;0;14;6;False
1998-04-05 03:00:00;2;;;;;;;;;;;;
1998-04-05 04:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;04:00:00;4;0;14;6;False
1998-04-05 05:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;05:00:00;5;0;14;6;False
1998-04-05 06:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;06:00:00;6;0;14;6;False
1998-04-05 07:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;07:00:00;7;0;14;6;False
1998-04-05 08:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;08:00:00;8;0;14;6;False
1998-04-05 09:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;09:00:00;9;0;14;6;False
1998-04-05 10:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;10:00:00;10;0;14;6;False
1998-04-05 11:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;11:00:00;11;0;14;6;False
1998-04-05 12:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;12:00:00;12;0;14;6;False
1998-04-05 13:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;13:00:00;13;0;14;6;False
1998-04-05 14:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;14:00:00;14;0;14;6;False
1998-04-05 15:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;15:00:00;15;0;14;6;False
1998-04-05 16:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;16:00:00;16;0;14;6;False
1998-04-05 17:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;17:00:00;17;0;14;6;False
1998-04-05 18:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;18:00:00;18;0;14;6;False
1998-04-05 19:00:00;2;Sunday;1998-04-05;1998;4;Spring;5;19:00:00;19;0;14;6;False
1998-04-05 20:00:00;3;Sunday;1998-04-05;1998;4;Spring;5;20:00:00;20;0;14;6;False
1998-04-05 21:00:00;3;Sunday;1998-04-05;1998;4;Spring;5;21:00:00;21;0;14;6;False
1998-04-05 22:00:00;3;Sunday;1998-04-05;1998;4;Spring;5;22:00:00;22;0;14;6;False
1998-04-05 23:00:00;3;Sunday;1998-04-05;1998;4;Spring;5;23:00:00;23;0;14;6;False
1998-04-06 00:00:00;2;Monday;1998-04-06;1998;4;Spring;6;00:00:00;0;0;15;0;False
1998-04-06 01:00:00;2;Monday;1998-04-06;1998;4;Spring;6;01:00:00;1;0;15;0;False
1998-04-06 02:00:00;2;Monday;1998-04-06;1998;4;Spring;6;02:00:00;2;0;15;0;False
1998-04-06 03:00:00;2;Monday;1998-04-06;1998;4;Spring;6;03:00:00;3;0;15;0;False
